body_site	CK25_FDSW210418094-1r_HMTM7DSX2_L3_2.fq.gz	CK25_FDSW210418094-1r_HMTM7DSX2_L3_1.fq.gz	CK25_FDSW210418094-1r_HMLYTDSX2_L2_2.fq.gz	CK25_FDSW210418094-1r_HMLYTDSX2_L2_1.fq.gz
Bifidobacterium_dentium	0.0117	0.01199	0.03294	0.03095
Bifidobacterium_longum	0	0	0.00057	0
Scardovia_wiggsiae	0	0	0.0049	0.00149
Collinsella_aerofaciens	0.09036	0.04723	0.11604	0.10158
Slackia_isoflavoniconvertens	0	0	0.0141	0.01277
Bacteroides_caccae	0	0.00167	0.01489	0.02455
Bacteroides_cellulosilyticus	0.16876	0.16875	0.20001	0.20832
Bacteroides_clarus	0.6273	0.57288	0.56201	0.55588
Bacteroides_dorei	0	0	0	0.00239
Bacteroides_eggerthii	0.18919	0.19903	0.26864	0.26368
Bacteroides_finegoldii	0.12477	0.15363	0.19832	0.21166
Bacteroides_intestinalis	0	0	0.00201	0.00318
Bacteroides_massiliensis	0.06884	0.0606	0.08638	0.06072
Bacteroides_ovatus	0.54704	0.55763	0.52825	0.54411
Bacteroides_plebeius	0.06659	0.06943	0.09301	0.0955
Bacteroides_salyersiae	0.05902	0.05262	0.05978	0.05714
Bacteroides_sp_CAG_144	0.0792	0.05639	0.07502	0.08386
Bacteroides_stercoris	0.38201	0.37614	0.36556	0.34046
Bacteroides_thetaiotaomicron	0.44412	0.46299	0.43314	0.4439
Bacteroides_uniformis	2.71168	2.73515	2.70575	2.82755
Bacteroides_vulgatus	3.62091	3.57891	3.90907	3.78741
Bacteroides_xylanisolvens	0.16107	0.14833	0.16564	0.17717
Barnesiella_intestinihominis	0	0	0.01894	0.02217
Butyricimonas_synergistica	0.00829	0.01486	0.0221	0.02082
Butyricimonas_virosa	0	0	0.01212	0.0093
Odoribacter_splanchnicus	0.81615	0.8368	0.88318	0.8357
Paraprevotella_xylaniphila	0.03817	0.02558	0.0663	0.06682
Prevotella_copri	4.98302	5.05549	4.85069	4.93685
Prevotella_sp_CAG_279	0.08112	0.0848	0.13565	0.12219
Alistipes_finegoldii	0.00166	0	0.01732	0.02124
Alistipes_inops	0	0	0.03235	0.03422
Alistipes_onderdonkii	0.03152	0.06006	0.05285	0.04486
Alistipes_putredinis	0.08264	0.06659	0.06955	0.06499
Alistipes_shahii	0.17825	0.19942	0.18847	0.19515
Parabacteroides_distasonis	1.75858	1.79338	1.80781	1.83902
Parabacteroides_goldsteinii	0.086	0.1043	0.10898	0.12199
Parabacteroides_merdae	1.73902	1.77967	1.69936	1.70589
Gemella_haemolysans	0	0	0.00669	0.01325
Enterococcus_hirae	0.0916	0.09788	0.14202	0.14266
Lactobacillus_fermentum	0	0	0.04541	0.0455
Lactobacillus_rogosae	0	0	0.00507	0.00753
Lactobacillus_salivarius	0.08905	0.0704	0.11428	0.12132
Leuconostoc_garlicum	0	0	0.00059	0.00058
Weissella_confusa	0.42377	0.44158	0.47162	0.49497
Streptococcus_downei	0.01148	0.01709	0.04999	0.04214
Streptococcus_infantarius	0	0	0.02765	0.03651
Streptococcus_parasanguinis	0.01616	0.00866	0.03198	0.04292
Streptococcus_salivarius	0.00423	0.00595	0.02698	0.02315
Streptococcus_sobrinus	0.02331	0.03148	0.03894	0.05311
Streptococcus_thermophilus	0.1539	0.13565	0.2001	0.19405
Streptococcus_vestibularis	0	0	0.04261	0.03789
Clostridium_sp_CAG_253	0	0	0.00515	0.00298
Clostridium_sp_CAG_58	0.11239	0.11483	0.15228	0.14806
Clostridium_sp_CAG_590	0.22412	0.22338	0.34834	0.34038
Intestinimonas_butyriciproducens	0	0	0.0172	0.01423
Lawsonibacter_asaccharolyticus	0.03905	0.03553	0.06383	0.04829
Eubacterium_eligens	1.3381	1.31415	1.40981	1.41695
Eubacterium_sp_CAG_38	0.00854	0.00642	0.02816	0.025
Blautia_obeum	0	0	0.0106	0.00863
Blautia_wexlerae	0	0	0	0.00782
Ruminococcus_gnavus	0	0	0.00129	0.00065
Ruminococcus_torques	0.00536	0.01055	0.03932	0.03997
Coprococcus_catus	0.00292	0.00297	0.02824	0.02331
Coprococcus_comes	0.08849	0.08372	0.10818	0.11852
Coprococcus_eutactus	0.32717	0.32056	0.35677	0.34802
Dorea_formicigenerans	0.00721	0.01622	0.06005	0.05752
Dorea_longicatena	0.07262	0.12762	0.15991	0.14989
Fusicatenibacter_saccharivorans	0.44146	0.44907	0.53846	0.53131
Clostridium_bolteae	0	0	0.01389	0.01011
Clostridium_citroniae	0	0	0.00424	0.00384
Clostridium_lavalense	0	0	0.00775	0.00675
Eubacterium_rectale	0.17764	0.19593	0.17821	0.17445
Lachnospira_pectinoschiza	0.82863	0.8467	0.81913	0.79895
Roseburia_faecis	0.01416	0.01214	0.03408	0.03835
Roseburia_hominis	0.01599	0.02106	0.03276	0.03589
Roseburia_intestinalis	0.1604	0.18421	0.20741	0.20109
Roseburia_inulinivorans	0.10119	0.09619	0.11586	0.11601
Oscillibacter_sp_57_20	1.49931	1.62331	1.582	1.59265
Oscillibacter_sp_CAG_241	0.00145	0.00296	0.00215	0.00159
Agathobaculum_butyriciproducens	0.0261	0.02263	0.05109	0.05735
Anaerotruncus_colihominis	0	0	0.00497	0.0029
Faecalibacterium_prausnitzii	3.48953	3.6213	3.63011	3.65263
Flavonifractor_plautii	0.08174	0.06998	0.1094	0.10556
Gemmiger_formicilis	0	0	0.00705	0.00695
Ruminococcaceae_bacterium_D5	0.08282	0.10274	0.11531	0.13148
Ruminococcus_bicirculans	0	0	0.00398	0.00537
Ruminococcus_bromii	0.2765	0.29648	0.2824	0.29365
Ruminococcus_champanellensis	0.35374	0.35004	0.35521	0.35769
Ruminococcus_obeum_CAG_39	0	0	0	0.00895
